team_full_name,team_id,game_type,game_type_id,playoff_outcome,playoff_outcome_id,years_since_last_active,start_year,team_improvement_during_regular_season,regular_season_sum,made_playoffs_sum,won_stanley_cup_sum,made_playoffs_efficiency,won_stanley_cup_efficiency,time_on_ice,regular_season_count,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count,games_played,wins,nhl_metrics,nhl_metric_values
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2008,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3780.0,1,0,0,0,82,34,low_danger_chances_for,1739.0
Atlanta Thrashers,11,Regular Season,2,Other,0,14,2008,1.0512820512820513,11,1,0,0.09090909090909091,1e-09,3611.0,1,0,0,0,82,35,low_danger_chances_for,1318.0
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2008,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3677.0,1,0,0,0,82,45,low_danger_chances_for,1734.0
Florida Panthers,13,Regular Season,2,Other,0,0,2008,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3783.0,1,0,0,0,82,41,low_danger_chances_for,1424.0
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2008,0.09433962264150943396,32,16,3,0.5,0.1875,3587.0,1,0,0,0,82,24,low_danger_chances_for,1292.0
Washington Capitals,15,Regular Season,2,Other,0,0,2008,2.5714285714285714,50,33,1,0.66,0.030303031,3669.0,1,0,0,0,82,50,low_danger_chances_for,1699.0
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2008,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3684.0,1,0,0,0,82,46,low_danger_chances_for,1667.0
Detroit Red Wings,17,Regular Season,2,Other,0,0,2008,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3714.0,1,0,0,0,82,51,low_danger_chances_for,1828.0
Nashville Predators,18,Regular Season,2,Other,0,0,2008,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,3716.0,1,0,0,0,82,40,low_danger_chances_for,1501.0
St Louis Blues,19,Regular Season,2,Other,0,0,2008,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3613.0,1,0,0,0,82,41,low_danger_chances_for,1349.0
Calgary Flames,20,Regular Season,2,Other,0,0,2008,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3604.0,1,0,0,0,82,46,low_danger_chances_for,1737.0
Colorado Avalanche,21,Regular Season,2,Other,0,0,2008,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3774.0,1,0,0,0,82,32,low_danger_chances_for,1407.0
Edmonton Oilers,22,Regular Season,2,Other,0,0,2008,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3671.0,1,0,0,0,82,38,low_danger_chances_for,1514.0
Vancouver Canucks,23,Regular Season,2,Other,0,0,2008,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3589.0,1,0,0,0,82,45,low_danger_chances_for,1337.0
Anaheim Ducks,24,Regular Season,2,Other,0,0,2008,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3655.0,1,0,0,0,82,42,low_danger_chances_for,1361.0
Dallas Stars,25,Regular Season,2,Other,0,0,2008,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3667.0,1,0,0,0,82,36,low_danger_chances_for,1518.0
Los Angeles Kings,26,Regular Season,2,Other,0,0,2008,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3590.0,1,0,0,0,82,34,low_danger_chances_for,1494.0
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2008,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3781.0,1,0,0,0,82,36,low_danger_chances_for,1460.0
San Jose Sharks,28,Regular Season,2,Other,0,0,2008,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3738.0,1,0,0,0,82,53,low_danger_chances_for,1602.0
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2008,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3693.0,1,0,0,0,82,41,low_danger_chances_for,1460.0
Minnesota Wild,30,Regular Season,2,Other,0,0,2008,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3774.0,1,0,0,0,82,40,low_danger_chances_for,1524.0
New Jersey Devils,1,Regular Season,2,Other,0,0,2009,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3954.0,1,0,0,0,82,48,low_danger_chances_for,1513.0
New York Islanders,2,Regular Season,2,Other,0,0,2009,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,3798.0,1,0,0,0,82,34,low_danger_chances_for,1421.0
New York Rangers,3,Regular Season,2,Other,0,0,2009,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3762.0,1,0,0,0,82,38,low_danger_chances_for,1329.0
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2009,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3679.0,1,0,0,0,82,41,low_danger_chances_for,1554.0
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2009,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3683.0,1,0,0,0,82,47,low_danger_chances_for,1677.0
Boston Bruins,6,Regular Season,2,Other,0,0,2009,3.8333333333333333,100,77,6,0.77,0.077922076,3921.0,1,0,0,0,82,39,low_danger_chances_for,1791.0
Buffalo Sabres,7,Regular Season,2,Other,0,0,2009,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3776.0,1,0,0,0,82,45,low_danger_chances_for,1565.0
Montreal Canadiens,8,Regular Season,2,Other,0,0,2009,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3874.0,1,0,0,0,82,39,low_danger_chances_for,1573.0
Ottawa Senators,9,Regular Season,2,Other,0,0,2009,1.5000000000000000,32,16,4,0.5,0.25,3793.0,1,0,0,0,82,44,low_danger_chances_for,1572.0
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2009,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3817.0,1,0,0,0,82,30,low_danger_chances_for,1882.0
Atlanta Thrashers,11,Regular Season,2,Other,0,14,2009,1.0512820512820513,11,1,0,0.09090909090909091,1e-09,3703.0,1,0,0,0,82,35,low_danger_chances_for,1487.0
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2009,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3735.0,1,0,0,0,82,35,low_danger_chances_for,1476.0
Florida Panthers,13,Regular Season,2,Other,0,0,2009,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3842.0,1,0,0,0,82,32,low_danger_chances_for,1425.0
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2009,0.09433962264150943396,32,16,3,0.5,0.1875,3711.0,1,0,0,0,82,34,low_danger_chances_for,1343.0
Washington Capitals,15,Regular Season,2,Other,0,0,2009,2.5714285714285714,50,33,1,0.66,0.030303031,3799.0,1,0,0,0,82,54,low_danger_chances_for,1648.0
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2009,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3876.0,1,0,0,0,82,52,low_danger_chances_for,1748.0
Detroit Red Wings,17,Regular Season,2,Other,0,0,2009,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3852.0,1,0,0,0,82,44,low_danger_chances_for,1749.0
Nashville Predators,18,Regular Season,2,Other,0,0,2009,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,3920.0,1,0,0,0,82,47,low_danger_chances_for,1747.0
St Louis Blues,19,Regular Season,2,Other,0,0,2009,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3671.0,1,0,0,0,82,40,low_danger_chances_for,1511.0
Calgary Flames,20,Regular Season,2,Other,0,0,2009,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3827.0,1,0,0,0,82,40,low_danger_chances_for,1754.0
Colorado Avalanche,21,Regular Season,2,Other,0,0,2009,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3801.0,1,0,0,0,82,43,low_danger_chances_for,1298.0
Edmonton Oilers,22,Regular Season,2,Other,0,0,2009,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3803.0,1,0,0,0,82,27,low_danger_chances_for,1538.0
Vancouver Canucks,23,Regular Season,2,Other,0,0,2009,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3724.0,1,0,0,0,82,49,low_danger_chances_for,1549.0
Anaheim Ducks,24,Regular Season,2,Other,0,0,2009,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3779.0,1,0,0,0,82,39,low_danger_chances_for,1455.0
Dallas Stars,25,Regular Season,2,Other,0,0,2009,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3829.0,1,0,0,0,82,37,low_danger_chances_for,1529.0
Los Angeles Kings,26,Regular Season,2,Other,0,0,2009,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3791.0,1,0,0,0,82,46,low_danger_chances_for,1547.0
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2009,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3758.0,1,0,0,0,82,50,low_danger_chances_for,1588.0
San Jose Sharks,28,Regular Season,2,Other,0,0,2009,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3755.0,1,0,0,0,82,51,low_danger_chances_for,1646.0
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2009,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3778.0,1,0,0,0,82,32,low_danger_chances_for,1340.0
Minnesota Wild,30,Regular Season,2,Other,0,0,2009,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3776.0,1,0,0,0,82,38,low_danger_chances_for,1488.0
New Jersey Devils,1,Regular Season,2,Other,0,0,2010,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,4000.0,1,0,0,0,82,38,low_danger_chances_for,1614.0
New York Islanders,2,Regular Season,2,Other,0,0,2010,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,3783.0,1,0,0,0,82,30,low_danger_chances_for,1400.0
New York Rangers,3,Regular Season,2,Other,0,0,2010,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3864.0,1,0,0,0,82,44,low_danger_chances_for,1266.0
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2010,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3780.0,1,0,0,0,82,47,low_danger_chances_for,1652.0
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2010,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3707.0,1,0,0,0,82,49,low_danger_chances_for,1749.0
Boston Bruins,6,Regular Season,2,Other,0,0,2010,3.8333333333333333,100,77,6,0.77,0.077922076,3929.0,1,0,0,0,82,46,low_danger_chances_for,1813.0
Buffalo Sabres,7,Regular Season,2,Other,0,0,2010,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3856.0,1,0,0,0,82,43,low_danger_chances_for,1684.0
Montreal Canadiens,8,Regular Season,2,Other,0,0,2010,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3776.0,1,0,0,0,82,44,low_danger_chances_for,1738.0
Ottawa Senators,9,Regular Season,2,Other,0,0,2010,1.5000000000000000,32,16,4,0.5,0.25,3867.0,1,0,0,0,82,32,low_danger_chances_for,1616.0
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2010,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3811.0,1,0,0,0,82,37,low_danger_chances_for,1684.0
Atlanta Thrashers,11,Regular Season,2,Other,0,14,2010,1.0512820512820513,11,1,0,0.09090909090909091,1e-09,3909.0,1,0,0,0,82,34,low_danger_chances_for,1696.0
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2010,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3777.0,1,0,0,0,82,40,low_danger_chances_for,1634.0
Florida Panthers,13,Regular Season,2,Other,0,0,2010,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3910.0,1,0,0,0,82,30,low_danger_chances_for,1679.0
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2010,0.09433962264150943396,32,16,3,0.5,0.1875,3751.0,1,0,0,0,82,46,low_danger_chances_for,1523.0
Washington Capitals,15,Regular Season,2,Other,0,0,2010,2.5714285714285714,50,33,1,0.66,0.030303031,3857.0,1,0,0,0,82,48,low_danger_chances_for,1683.0
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2010,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3967.0,1,0,0,0,82,44,low_danger_chances_for,1717.0
Detroit Red Wings,17,Regular Season,2,Other,0,0,2010,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3852.0,1,0,0,0,82,47,low_danger_chances_for,1808.0
Nashville Predators,18,Regular Season,2,Other,0,0,2010,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,3897.0,1,0,0,0,82,44,low_danger_chances_for,1534.0
St Louis Blues,19,Regular Season,2,Other,0,0,2010,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3883.0,1,0,0,0,82,38,low_danger_chances_for,1704.0
Calgary Flames,20,Regular Season,2,Other,0,0,2010,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3836.0,1,0,0,0,82,41,low_danger_chances_for,1741.0
Colorado Avalanche,21,Regular Season,2,Other,0,0,2010,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3841.0,1,0,0,0,82,30,low_danger_chances_for,1407.0
Edmonton Oilers,22,Regular Season,2,Other,0,0,2010,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3780.0,1,0,0,0,82,25,low_danger_chances_for,1436.0
Vancouver Canucks,23,Regular Season,2,Other,0,0,2010,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3820.0,1,0,0,0,82,54,low_danger_chances_for,1707.0
Anaheim Ducks,24,Regular Season,2,Other,0,0,2010,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3845.0,1,0,0,0,82,47,low_danger_chances_for,1388.0
Dallas Stars,25,Regular Season,2,Other,0,0,2010,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3803.0,1,0,0,0,82,42,low_danger_chances_for,1455.0
Los Angeles Kings,26,Regular Season,2,Other,0,0,2010,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3854.0,1,0,0,0,82,46,low_danger_chances_for,1713.0
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2010,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3858.0,1,0,0,0,82,43,low_danger_chances_for,1655.0
San Jose Sharks,28,Regular Season,2,Other,0,0,2010,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3903.0,1,0,0,0,82,48,low_danger_chances_for,1777.0
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2010,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3771.0,1,0,0,0,82,34,low_danger_chances_for,1566.0
Minnesota Wild,30,Regular Season,2,Other,0,0,2010,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3828.0,1,0,0,0,82,39,low_danger_chances_for,1481.0
New Jersey Devils,1,Regular Season,2,Other,0,0,2011,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3938.0,1,0,0,0,82,48,low_danger_chances_for,1376.0
New York Islanders,2,Regular Season,2,Other,0,0,2011,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,4006.0,1,0,0,0,82,34,low_danger_chances_for,1420.0
New York Rangers,3,Regular Season,2,Other,0,0,2011,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3885.0,1,0,0,0,82,51,low_danger_chances_for,1272.0
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2011,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3697.0,1,0,0,0,82,47,low_danger_chances_for,1555.0
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2011,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3865.0,1,0,0,0,82,51,low_danger_chances_for,1746.0
Boston Bruins,6,Regular Season,2,Other,0,0,2011,3.8333333333333333,100,77,6,0.77,0.077922076,3962.0,1,0,0,0,82,49,low_danger_chances_for,1879.0
Buffalo Sabres,7,Regular Season,2,Other,0,0,2011,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3953.0,1,0,0,0,82,39,low_danger_chances_for,1614.0
Montreal Canadiens,8,Regular Season,2,Other,0,0,2011,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3766.0,1,0,0,0,82,31,low_danger_chances_for,1531.0
Ottawa Senators,9,Regular Season,2,Other,0,0,2011,1.5000000000000000,32,16,4,0.5,0.25,3849.0,1,0,0,0,82,41,low_danger_chances_for,1869.0
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2011,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3975.0,1,0,0,0,82,35,low_danger_chances_for,1687.0
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2011,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3902.0,1,0,0,0,82,33,low_danger_chances_for,1582.0
Florida Panthers,13,Regular Season,2,Other,0,0,2011,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3957.0,1,0,0,0,82,38,low_danger_chances_for,1723.0
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2011,0.09433962264150943396,32,16,3,0.5,0.1875,3919.0,1,0,0,0,82,38,low_danger_chances_for,1488.0
Washington Capitals,15,Regular Season,2,Other,0,0,2011,2.5714285714285714,50,33,1,0.66,0.030303031,3971.0,1,0,0,0,82,42,low_danger_chances_for,1630.0
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2011,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3964.0,1,0,0,0,82,45,low_danger_chances_for,1676.0
Detroit Red Wings,17,Regular Season,2,Other,0,0,2011,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3876.0,1,0,0,0,82,48,low_danger_chances_for,1670.0
Nashville Predators,18,Regular Season,2,Other,0,0,2011,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,4004.0,1,0,0,0,82,48,low_danger_chances_for,1451.0
St Louis Blues,19,Regular Season,2,Other,0,0,2011,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3854.0,1,0,0,0,82,49,low_danger_chances_for,1616.0
Calgary Flames,20,Regular Season,2,Other,0,0,2011,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3919.0,1,0,0,0,82,37,low_danger_chances_for,1519.0
Colorado Avalanche,21,Regular Season,2,Other,0,0,2011,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3963.0,1,0,0,0,82,41,low_danger_chances_for,1775.0
Edmonton Oilers,22,Regular Season,2,Other,0,0,2011,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3863.0,1,0,0,0,82,32,low_danger_chances_for,1477.0
Vancouver Canucks,23,Regular Season,2,Other,0,0,2011,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3830.0,1,0,0,0,82,51,low_danger_chances_for,1728.0
Anaheim Ducks,24,Regular Season,2,Other,0,0,2011,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3907.0,1,0,0,0,82,34,low_danger_chances_for,1499.0
Dallas Stars,25,Regular Season,2,Other,0,0,2011,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3880.0,1,0,0,0,82,42,low_danger_chances_for,1640.0
Los Angeles Kings,26,Regular Season,2,Other,0,0,2011,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3801.0,1,0,0,0,82,40,low_danger_chances_for,1807.0
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2011,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3962.0,1,0,0,0,82,42,low_danger_chances_for,1641.0
San Jose Sharks,28,Regular Season,2,Other,0,0,2011,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3989.0,1,0,0,0,82,43,low_danger_chances_for,1851.0
